session,category,state,browser,language,os,id,prod_cat,ad_id,purch_flag
1831609437,"business","ga","Chrome","cn","win7",3481,"laptop",12,"false"
1376220992,"student","mi","Safari","fr","win7",6252,"desktop",17,"true"
1191767290,"personal","pa","Chrome","ru","win7",1095,"desktop",1,"false"
1981635293,"business","ny","Mobile","en","win7",471,"desktop",11,"false"
1908122324,"personal","tx","IE","en","win7",358,"laptop",17,"false"
1263566830,"personal","ny","Chrome","ar","nt",9328,"tablet",2,"false"
1780078281,"business","va","Mobile","de","win8",432,"tablet",1,"false"
1947140935,"personal","tx","Firefox","cn","win7",8309,"tablet",18,"true"
1887127692,"personal","ms","Chrome","sp","win7",7746,"laptop",14,"false"
1927244668,"student","mn","IE","jp","win8",1504,"laptop",1,"false"
1679572866,"business","wa","Chrome","pt","win7",368,"desktop",7,"false"
1208390957,"student","oh","Mobile","en","win7",4204,"tablet",15,"false"
1350013964,"student","tx","Chrome","en","win7",4662,"desktop",3,"false"
1239505865,"personal","il","Firefox","pt","win8",4598,"mobile",2,"false"
1913403591,"student","pa","Mobile","en","win7",2707,"desktop",17,"false"
1020221531,"business","tx","Chrome","de","win7",8369,"tablet",1,"false"
1276721844,"student","md","Firefox","jp","win7",5229,"laptop",9,"false"
1995557388,"personal","ga","Firefox","cn","win7",8203,"tablet",6,"false"
1250145762,"student","tn","IE","cn","win7",6504,"mobile",15,"false"
1927918270,"student","ga","Chrome","ru","win7",360,"desktop",10,"false"
1451227146,"personal","ca","Opera","sp","win8",3324,"tablet",6,"true"
1491638393,"student","ga","IE","cn","win7",8535,"mobile",4,"false"
1869026580,"personal","ny","Chrome","en","win7",2916,"laptop",11,"false"
1021647076,"business","ky","Chrome","cn","win8",983,"tablet",8,"false"
1647477195,"student","ma","IE","en","win7",4281,"desktop",12,"false"
1210443121,"business","ny","IE","en","win7",1317,"tablet",18,"false"
1391739656,"student","ca","IE","ar","win7",4643,"laptop",3,"false"
1882059385,"student","ms","Safari","ar","Mac",1483,"desktop",11,"false"
1928034274,"student","ca","Chrome","ar","win7",6949,"tablet",6,"false"
1375638152,"student","az","Chrome","en","win8",5939,"laptop",9,"false"
1220943588,"personal","sc","Chrome","cn","win7",6058,"mobile",6,"false"
1260413176,"student","oh","Mobile","cn","win7",6222,"desktop",17,"false"
1177209587,"personal","ca","IE","en","win7",4981,"laptop",3,"false"
1335245705,"personal","nd","IE","en","win7",6208,"laptop",15,"false"
1773096868,"personal","ca","Chrome","pt","xp",8664,"desktop",4,"true"
1900559388,"business","wa","IE","en","win7",494,"laptop",18,"false"
1320862898,"personal","tx","Chrome","cn","win7",9335,"server",18,"false"
1559538700,"business","ny","Chrome","cn","nt",642,"desktop",6,"false"
1637282849,"personal","fl","Safari","ar","win7",1628,"tablet",1,"false"
1447566578,"business","or","Mobile","pt","xp",2922,"server",5,"false"
1165022342,"personal","il","Firefox","cn","xp",5620,"desktop",3,"false"
1206998626,"business","md","Chrome","sp","win7",9207,"desktop",16,"false"
1297120704,"personal","md","Chrome","sp","Mac",5009,"desktop",13,"false"
1781960496,"personal","ny","IE","en","win7",2580,"tablet",16,"false"
1427947607,"personal","wi","Safari","ko","win7",2755,"tablet",4,"false"
1330340871,"personal","az","IE","cn","win7",9050,"desktop",3,"false"
1218387463,"personal","in","IE","fr","win8",7971,"laptop",8,"false"
1970737090,"business","mo","Mobile","jp","linux",8445,"laptop",10,"false"
1670143610,"personal","ca","Firefox","en","win7",7906,"tablet",9,"false"
1331341001,"personal","ut","IE","jp","linux",5135,"mobile",13,"false"
1854897110,"student","ct","Safari","cn","win7",4708,"mobile",8,"false"
1053587475,"personal","in","Chrome","en","win7",3024,"laptop",18,"false"
1889714977,"personal","tn","IE","ar","win7",7821,"server",17,"false"
1933328119,"business","nj","Chrome","fr","win7",7309,"desktop",4,"false"
1019257033,"business","ca","Mobile","cn","win7",6109,"laptop",15,"false"
1929687640,"student","tx","IE","de","win7",151,"mobile",14,"false"
1800764580,"business","il","Firefox","en","win7",7111,"mobile",13,"true"
1489445976,"business","nj","Chrome","en","vista",7774,"laptop",2,"false"
1505474248,"personal","wv","Chrome","jp","win7",9880,"laptop",4,"false"
1051719251,"personal","ok","Chrome","cn","win7",7000,"desktop",12,"false"
1843877246,"personal","mn","IE","en","linux",3671,"desktop",7,"false"
1431001553,"business","ny","Chrome","en","xp",3407,"tablet",11,"false"
1534978237,"personal","ca","IE","pt","win8",7538,"desktop",16,"false"
1380307958,"student","ga","Firefox","cn","win8",9927,"desktop",9,"false"
1897243616,"student","mo","Firefox","en","win7",6066,"mobile",4,"false"
1797393415,"personal","va","IE","sp","linux",6921,"desktop",14,"false"
1930288195,"personal","tn","Mobile","en","Mac",2455,"desktop",7,"false"
1426136568,"personal","ca","Chrome","en","win7",9378,"tablet",17,"false"
1497066870,"student","ms","Chrome","cn","win7",9409,"desktop",8,"false"
1783061497,"personal","tx","Chrome","cn","xp",9114,"tablet",17,"false"
1126412939,"student","oh","Mobile","pt","win7",5717,"server",14,"false"
1101075323,"personal","md","Firefox","jp","win7",3021,"tablet",11,"false"
1460400953,"student","tx","IE","en","win7",8908,"laptop",6,"false"
1783344499,"business","tx","IE","cn","win7",994,"laptop",9,"false"
1130907301,"student","wi","Chrome","en","win7",591,"laptop",13,"false"
1068705589,"business","va","Firefox","cn","win7",8837,"tablet",7,"false"
1605451913,"business","ri","Safari","en","win7",1452,"tablet",10,"false"
1761111870,"personal","pa","Chrome","ru","xp",8156,"laptop",8,"false"
1849219988,"student","ca","IE","jp","win7",1366,"tablet",1,"true"
1024213891,"student","nj","IE","ko","win7",3357,"desktop",6,"false"
1756600240,"business","ar","Chrome","cn","xp",8761,"desktop",10,"false"
1433904878,"business","fl","Chrome","cn","Mac",2553,"laptop",16,"false"
1208179123,"business","ca","Firefox","en","linux",641,"tablet",4,"false"
1162722037,"personal","ks","Safari","en","win7",8907,"tablet",13,"true"
1211997637,"student","nc","Firefox","cn","win7",7059,"desktop",2,"true"
1720864443,"student","ca","Chrome","en","win7",1620,"laptop",11,"false"
1144144403,"personal","tx","Chrome","en","Mac",1195,"mobile",1,"false"
1877975353,"business","ca","Chrome","en","win7",9484,"server",15,"false"
1796859372,"student","sc","Chrome","en","win7",5258,"laptop",5,"false"
1619693056,"personal","co","Firefox","en","Mac",4921,"desktop",1,"false"
1914368266,"personal","fl","Chrome","en","Mac",6716,"laptop",15,"false"
1239231263,"personal","hi","Chrome","cn","win7",4866,"desktop",11,"false"
1831195186,"business","pa","Mobile","de","win7",6681,"desktop",11,"false"
1012165619,"personal","fl","Chrome","jp","win7",7281,"mobile",10,"false"
1518800582,"personal","ca","Chrome","fr","win7",9409,"desktop",17,"false"
1351437881,"personal","ca","Chrome","cn","win7",2374,"tablet",7,"false"
1216973740,"student","wa","Chrome","cn","xp",8061,"desktop",9,"false"
1051060817,"business","sc","Chrome","ru","win8",1042,"mobile",9,"false"
