session,category,state,browser,language,os,id,prod_cat,ad_id,purch_flag
1856841034,"personal","fl","Opera","ru","xp",8012,"laptop",2,"0"
1642940557,"student","ca","Firefox","sp","win7",3750,"mobile",15,"0"
1495398992,"personal","ca","IE","sp","win7",818,"desktop",8,"0"
1571570828,"business","tx","Chrome","cn","win8",2151,"desktop",6,"0"
1640315008,"personal","ak","Safari","en","win7",3522,"mobile",17,"0"
1026332068,"personal","in","Firefox","pt","win7",991,"tablet",5,"0"
1969635062,"personal","pa","Mobile","cn","win7",1230,"tablet",9,"0"
1195091762,"personal","mn","Firefox","cn","xp",818,"desktop",12,"0"
1597575799,"student","ca","Firefox","pt","Mac",7467,"desktop",7,"0"
1058730135,"business","ca","Firefox","en","win7",4817,"tablet",5,"0"
1354688846,"personal","tx","Firefox","en","xp",5710,"laptop",7,"0"
1680120345,"business","tn","Firefox","sp","win7",3198,"laptop",4,"0"
1121722856,"personal","pa","Mobile","cn","win7",1756,"desktop",17,"0"
1360490919,"personal","fl","Mobile","cn","vista",3958,"server",8,"0"
1986904078,"business","tn","IE","sp","win7",7472,"laptop",15,"0"
1941808508,"personal","pa","Firefox","en","xp",5397,"desktop",17,"1"
1776372277,"student","ca","Chrome","en","Mac",3362,"desktop",16,"0"
1744369577,"personal","ca","Chrome","en","win7",1298,"tablet",5,"0"
1257262436,"personal","nc","Chrome","sp","win7",2829,"laptop",7,"0"
1104479803,"personal","wv","IE","fr","win7",8889,"server",14,"0"
1612005719,"personal","ca","Safari","en","win8",2346,"tablet",14,"0"
1197540198,"student","id","Chrome","cn","win8",9894,"mobile",18,"1"
1484229071,"personal","oh","Chrome","en","win7",6717,"laptop",9,"0"
1069727787,"student","tx","Chrome","cn","win7",6782,"mobile",6,"0"
1353461038,"personal","nd","Mobile","en","win8",6884,"tablet",1,"0"
1511601024,"business","il","Chrome","jp","win8",8378,"desktop",15,"0"
1133933646,"personal","mi","Chrome","en","Mac",7653,"laptop",1,"0"
1078828078,"personal","ca","Chrome","ko","win7",4977,"desktop",11,"0"
1411000051,"personal","wa","Chrome","cn","win7",7368,"laptop",9,"0"
1805794196,"student","il","Safari","sp","win8",8861,"desktop",8,"0"
1962193099,"personal","pa","Chrome","de","win7",7821,"tablet",14,"0"
1200463000,"student","ct","IE","cn","linux",8411,"desktop",2,"0"
1679661560,"business","al","Mobile","cn","win7",973,"mobile",18,"0"
1711417714,"personal","hi","Chrome","en","Mac",2519,"laptop",17,"0"
1135971240,"personal","pa","Firefox","en","win7",1593,"laptop",5,"0"
1171821164,"business","mi","Firefox","en","linux",7487,"desktop",9,"0"
1868870078,"personal","fl","Chrome","ko","win7",7304,"tablet",6,"0"
1276622293,"personal","pa","IE","cn","win7",4573,"server",10,"0"
1602625162,"personal","ut","IE","jp","linux",5617,"tablet",17,"0"
1234008746,"student","ca","Mobile","en","vista",766,"tablet",16,"0"
1521234998,"student","ca","Firefox","sp","win7",4453,"desktop",2,"0"
1406248771,"personal","ca","Chrome","en","win7",8695,"mobile",9,"0"
1475318530,"personal","la","Chrome","de","win8",979,"laptop",16,"0"
1199479439,"personal","tn","IE","cn","win7",2581,"laptop",13,"0"
1259617257,"personal","va","IE","en","win7",6976,"desktop",16,"0"
1462711122,"personal","me","Chrome","cn","win8",8900,"laptop",11,"0"
1603423353,"business","va","Safari","sp","xp",5089,"tablet",3,"0"
1689969094,"student","nj","Chrome","sp","win7",3281,"laptop",9,"0"
1612708719,"personal","me","Chrome","en","win7",4719,"tablet",3,"0"
1133114719,"personal","tn","IE","en","win7",4896,"laptop",15,"0"
1715363023,"personal","ky","Chrome","cn","Mac",7736,"desktop",11,"0"
1273319472,"business","oh","Mobile","en","win8",1818,"tablet",4,"0"
1554937732,"student","nj","Safari","en","win7",9649,"mobile",8,"0"
1652391006,"student","tx","Chrome","cn","win8",1454,"mobile",16,"0"
